s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2015,73007,11,2015,4,416.24578857,5,3.75,1,,1,1,1,3,2,1,1,1,7400,41,14,,3,4,3,0,1,1,1,1,0,1,1,1,0,5,0,2,1,2,2,2,1,1,2,2,1,0,2,1,1,2,1,1,0,2000000,2,4,4,0,0,0,0,4,18524,13570,16689,4954,9625,15167,0,0,1522,15167,0,525,0,997,0,15167,0,0,0,0,0,525,0,0,0,0,0,0,0,0,3119,1770,696,653,14579,3611,627,3890,2260,84,399,475,1431,1363,438,1,7038,5687.0641235,1350.7,0,0,339830,1660170,1
2015,73015,1,2016,4,426.64599609,6,4.25,2,2,1,1,,4,2,1,1,1,0000,41,10,,4,4,3,0,1,1,1,1,0,1,1,1,1,2,1,2,5,2,2,1,1,2,1,1,1,0,2,1,1,2,2,,1,,,5,5,1,0,2,2,6,28979,27434,35686,1545,24432,34972,0,0,715,19238,0,715,0,0,0,0,19238,0,15734,0,0,715,0,0,0,0,0,0,0,0,8252,4200,2509,1543,25977,3513,923,8526,1670,890,1556,1487,3109,2546,1757,1,9379,7282.106132,2096.9,0,0,,1500000,1
2015,73023,12,2015,4,115.23100281,4,3.2,3,,,,1,1,3,1,2,1,0000,41,10,,4,4,3,0,1,1,1,1,0,0,1,1,1,2,1,3,5,2,1,1,1,1,2,1,1,1,2,1,,2,2,1,0,5000000,3,5,5,0,0,0,0,6,22886,16911,23293,5975,33914,23143,0,0,150,3268,0,150,0,0,0,0,0,3268,19875,0,0,150,0,0,0,0,0,0,0,0,6382,3157,2095,1130,39889,2850,1362,5975,5459,0,1812,505,2812,18823,292,1,4451,2496.9801065,1953.9,0,0,,5000000,1
2015,73031,11,2015,4,488.42300415,1,1.25,0,,,,,,1,,1,1,0000,41,10,,4,4,3,0,1,1,1,1,0,0,1,1,1,1,0,0,3,2,2,1,1,1,2,2,0,0,2,2,1,1,,1,0,1069982,3,3,3,0,0,0,0,4,6417,3178,3391,3239,3937,0,0,1695,1695,0,0,1695,0,0,0,0,0,0,0,1695,0,0,0,1695,0,0,0,0,0,0,213,110,0,103,7176,486,109,3239,1694,523,0,429,260,261,175,1,2039,0,1784.9,120.4159051,134,,1069982,1
2015,73049,11,2015,4,245.86489868,3,2.65,2,,1,,,1,2,1,1,1,0000,41,8,,4,4,3,0,1,1,1,1,0,1,1,1,0,3,0,2,5,2,2,1,2,1,2,1,0,1,2,1,1,2,2,1,1,2007993,5,5,5,0,0,0,0,9,30087,24253,28710,5834,13685,25569,2992,0,150,25569,0,150,0,0,0,10100,15469,0,0,0,0,150,0,0,0,0,0,0,0,0,4457,2331,1058,1068,19519,1159,575,5834,3357,109,0,539,2126,5742,78,2,2930,1595.0420085,1335.1,0,0,,3507993,1
2015,73056,12,2015,4,188.4342041,4,3.2,4,,,,,,4,3,1,1,0000,41,8,,4,4,3,0,2,1,1,2,0,1,1,1,1,7,1,3,1,2,2,1,1,1,2,1,3,2,2,1,2,2,2,1,1,17500000,4,7,7,0,0,0,0,10,70636,64339,94161,6297,73882,83165,10996,0,0,83165,0,0,0,0,0,40777,40777,1610,0,0,0,0,0,0,0,0,0,0,0,0,29822,20980,4976,3866,80180,4453,366,7088,7714,1588,9007,506,2811,46408,239,2,4345,2849.1069325,1496.3,0,0,2849671,16150329,1
2015,73064,11,2015,4,185.52340698,3,2.65,2,,,,,,3,2,1,1,7400,41,14,,3,4,3,1,0,0,1,1,0,0,1,0,0,2,0,1,1,2,2,1,2,1,2,2,1,0,2,1,,2,,,0,,,4,4,1,0,2,2,3,9276,9048,9545,228,7497,7979,0,0,1566,7979,0,1566,0,0,0,4937,0,3043,0,0,0,0,0,0,0,1566,0,0,0,0,497,6,102,389,7497,2122,533,2994,798,333,0,54,314,349,0,1,2494,0,897,1369.68746,227,,0,1
2015,73072,11,2015,4,206.89089966,3,2.65,1,,,,,,3,1,2,1,7400,41,14,,3,4,3,0,1,1,1,1,1,1,1,2,1,1,0,1,1,2,2,1,2,1,2,2,0,0,2,1,1,2,1,1,0,1180008,3,3,3,0,0,0,0,8,22924,19855,22589,3069,7281,4421,0,13980,4189,4421,0,4189,0,0,0,4421,0,0,0,13980,0,0,1795,0,0,2394,0,0,0,0,2734,2280,19,435,10350,1028,238,3069,1695,0,0,1209,697,1386,1029,3,4179,0,2730,1369.68746,79,,1180008,1
2015,73080,11,2015,4,252.8782959,3,2.65,1,,,,1,1,2,1,1,1,7400,41,14,,3,4,3,0,1,1,0,1,1,0,1,0,0,0,0,1,3,2,2,1,2,2,2,2,0,0,2,2,1,2,,1,0,1180008,3,3,3,0,0,0,0,5,15806,12737,16321,3069,5892,16172,0,0,150,6811,0,150,0,0,0,6811,0,0,9361,0,0,150,0,0,0,0,0,0,0,0,3584,1963,916,705,8961,1775,664,3069,1563,0,200,1239,0,141,310,4,4556,2496.9801065,2059.2,0,0,243139,936869,1
2015,73098,11,2015,4,215.39619446,2,2,1,,,,,,2,1,1,1,7400,41,14,,3,4,3,0,1,1,1,1,0,0,1,1,0,1,0,1,5,2,2,2,2,1,2,2,0,0,2,1,1,2,1,1,0,2196302,2,5,5,0,0,0,0,8,19979,15099,16095,4880,9483,1314,0,12686,2094,1314,0,2094,0,0,0,1314,0,0,0,12686,0,0,2094,0,0,0,0,0,0,0,996,649,19,328,14363,2687,411,4880,2117,99,90,1713,746,1457,164,4,2582,0,2541.5,0,41,,2196302,1
