s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,yeladim0_1,yeladim2_4,yeladim5_9,yeladim10_14,yeladim15_17,nefashot18up,men18up,women18up,religion,nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39
2012,7237,4,2012,2,175.21626282,5,3.75,1,1,,2,,3,1,0,1,1,0,2,1,1,5,0,0000,24,6,1,2,2,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,2,2,2,2,1,2,,2,1,21000,1,2,440558,3,3,3,0,0,0,0,2,10573,8449,8784,2124,6995,3557,0,0,5227,3557,0,5227,0,0,0,3557,0,0,0,0,0,429,4798,0,0,0,0,0,0,335,0,16,319,9369,2918,437,2054,876,86,464,484,168,1821,61
2012,7245,4,2012,2,211.6038208,5,3.75,2,,,,1,1,0,0,0,1,0,4,2,2,1,0,0000,24,6,1,2,2,2,1,0,0,1,1,0,0,1,0,2,3,1,2,4,2,2,1,2,2,1,1,2,2,54000,1,2,700000,3,4.5,4.5,0,0,0,0,5,20261,16907,17623,3354,13058,12280,0,0,5342,12280,0,4263,1079,0,0,5177,7103,0,0,0,0,175,4088,0,0,0,0,0,0,716,0,193,523,16820,2677,306,3000,1082,,675,2950,1075,4569,486
2012,7252,3,2012,1,157.66751099,6,4.25,3,1,1,,,2,0,2,0,0,0,4,2,2,1,0,0000,24,6,1,2,2,2,0,1,1,1,1,0,1,1,1,1,4,0,2,6,2,2,1,2,2,1,,2,2,12500,1,2,2000000,4,6,6,0,0,0,0,4,19529,15806,17123,3723,9565,16694,0,0,429,9612,0,429,0,0,0,5059,0,4553,7082,0,0,429,0,0,0,0,0,0,0,1317,0,662,655,16761,988,646,2956,2782,90,253,1265,736,5837,1209
2012,7260,4,2012,2,250.71522522,5,3.75,4,,,,,,0,0,0,0,0,5,2,3,1,0,0000,24,6,1,2,2,2,0,2,2,2,2,0,1,2,1,1,4,1,3,6,2,2,1,2,2,1,1,2,2,24000,1,2,2500000,4,6,6,0,0,0,0,10,54388,50433,58188,3955,15658,58188,0,0,0,58188,0,0,0,0,0,17512,0,40677,0,0,0,0,0,0,0,0,0,0,0,7755,2080,2951,2724,20020,2154,261,3360,2056,273,769,5219,350,4717,861
2012,7278,1,2012,1,281.15228271,1,1.25,0,,,,,,0,0,0,0,0,1,,1,1,0,0000,62,6,3,2,2,1,1,0,0,1,1,0,0,1,0,0,2,1,0,1,2,2,1,2,2,2,1,1,,0,1,2,607194,1,4,4,0,0,0,0,3,4299,2532,2630,1767,2259,0,0,0,2630,0,0,2630,0,0,0,0,0,0,0,0,0,0,0,2630,0,0,0,0,0,98,0,0,98,4026,724,336,1767,516,44,,109,270,243,18
2012,7286,2,2012,1,389.68896484,5,3.75,0,,,1,1,3,0,0,0,2,1,2,1,1,1,0,0000,62,6,3,2,2,1,1,1,0,1,1,1,0,1,1,1,0,0,0,2,2,2,2,2,2,2,1,1,,0,1,2,500000,3,3,3,0,0,0,0,1,3361,1456,1575,1905,7839,0,0,0,1575,0,0,715,860,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0,119,0,20,99,9744,1223,631,1905,888,150,,85,4343,433,86
2012,7294,2,2012,1,226.82051086,3,2.65,0,1,,,,1,0,1,0,0,0,2,1,1,1,0,3000,11,1,,2,5,5,1,0,0,2,1,1,0,1,1,1,0,0,2,1,2,2,2,2,2,2,1,2,,0,2,2,,,4,4,1,0,2,2,3,8759,8759,8878,0,10816,0,0,0,8878,0,8250,172,455,0,8250,0,0,0,0,0,0,172,0,0,0,0,0,0,0,119,0,20,99,10816,1421,480,5781,1405,87,,,499,622,521
2012,7302,2,2012,1,399.40960693,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,3000,11,1,,2,5,5,1,0,0,1,1,2,0,1,1,1,0,0,1,1,2,2,2,2,2,1,2,2,,0,2,2,,,4,4,1,0,2,2,4,9416,9416,9535,0,17878,0,0,0,9535,0,9535,0,0,0,9535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,20,99,17878,1230,360,6055,1949,278,204,1143,979,5096,583
2012,7310,2,2012,1,290.45074463,5,3.75,4,,,,,,0,0,0,0,0,5,3,2,1,0,3000,11,1,,2,5,5,0,1,1,1,1,1,1,1,1,1,2,1,2,0,1,2,1,2,2,1,1,2,2,0,1,2,3400000,1,6,6,0,0,0,0,10,53969,43309,56498,10660,17827,56455,44,0,0,56455,0,0,0,0,0,24094,19207,13153,0,0,0,0,0,0,0,0,0,0,0,13189,8150,2605,2434,28571,1318,347,6524,3755,759,259,614,7212,7605,180
2012,7328,2,2012,1,271.08026123,2,2,1,,,,,,0,0,0,0,0,2,1,1,1,0,3000,11,1,,2,5,5,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,2,2,2,2,1,1,1,56000,1,2,1655518,1,4,4,0,0,0,0,5,10347,5725,6155,4622,5252,641,0,2024,3491,0,0,2985,506,0,0,0,0,0,641,0,0,0,2985,0,0,0,0,0,0,430,0,143,287,10464,1118,597,4433,941,11,112,53,36,3077,87
