s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2016,84590,11,2016,4,304.53384399,1,1.25,1,,,,,,1,1,,1,6100,52,4,2,5,5,0,1,0,1,1,0,0,1,1,0,0,0,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,,0,,,5,2,1,0,2,2,6,9140,9140,9308,0,6348,1960,0,0,7348,1960,0,6578,770,0,0,1960,0,0,0,0,0,0,0,0,0,5182,0,0,1396,0,168,0,19,149,6348,398,0,1869,2,0,548,2000,213,1318,0,4,1642,0,325.786102,1316.259609,0,,0,1
2016,84608,11,2016,4,559.26165771,1,1.25,1,,,,,,1,1,,1,6100,52,4,2,5,5,0,1,0,1,1,0,0,1,1,0,0,0,1,1,2,2,2,2,2,2,2,0,0,2,2,,1,,,0,,,4,1,1,4,2,2,2,3837,3837,4068,0,3086,1576,0,0,2491,0,0,2491,0,0,0,0,0,0,1576,0,0,0,0,0,0,2491,0,0,0,0,231,0,158,73,3086,458,54,1899,2,0,0,0,0,51,621,3,1551,0,234.3373716,1316.259609,0,,0,1
2016,84616,11,2016,4,217.99295044,2,2,1,,,1,,1,1,,1,1,6100,52,4,2,5,5,1,0,0,1,1,0,0,1,0,1,0,0,1,1,2,2,1,2,2,2,2,0,0,2,1,1,2,,,0,,,2.5,2.5,1,0,2,2,2,6279,6279,6447,0,6016,4304,0,0,2143,4304,0,149,0,1993,0,4304,0,0,0,0,0,149,0,0,0,0,0,0,0,0,168,0,19,149,6016,75,0,3099,533,30,269,24,1511,408,66,3,2340,1617.0334904,663.0032954,0,60,,0,1
2016,84624,11,2016,4,173.85202026,2,2,0,,,,,,2,1,1,1,6100,52,4,2,5,5,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,2,1,2,2,2,2,0,0,2,2,,2,,,0,,,2.5,2.5,1,1,2,2,1,2964,2964,3089,0,2709,0,0,0,3089,0,0,0,2292,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,22,103,2709,398,162,0,1023,30,0,651,40,76,330,4,452,0,451.5281063,0,0,,0,1
2016,84632,11,2016,4,127.07868958,8,5.2,1,2,2,2,,6,2,1,1,1,6100,52,4,2,5,5,1,0,0,1,2,1,0,1,0,0,0,0,1,4,2,2,1,2,2,2,2,0,0,2,2,1,2,,1,0,1900000,3,6,6,0,0,0,0,2,17486,11872,12770,5614,8618,10097,0,0,2672,10097,0,1011,1662,0,0,10097,0,0,0,0,0,1011,0,0,0,0,0,0,0,0,898,0,398,500,14232,1824,692,5661,947,171,1543,74,1425,403,1491,4,15268,12552.954948,2503.4089945,0,212,456817,1443183,1
2016,84640,11,2016,4,127.07868958,8,5.2,1,2,3,1,,6,2,1,1,1,6100,52,4,2,5,5,1,0,0,0,1,0,0,1,1,1,0,0,1,3,2,2,1,2,2,2,2,0,0,2,1,1,2,,,0,,,2,2,1,0,2,2,1,7412,7412,7847,0,11221,3149,0,0,4698,0,0,1011,3687,0,0,0,0,0,3149,0,0,1011,0,0,0,0,0,0,0,0,435,0,234,201,11221,893,697,4164,566,100,906,100,2073,662,1060,4,10634,8085.167452,2520.5556314,0,28,,0,1
2016,84657,11,2016,4,143.3425293,3,2.65,1,,,,,,3,2,1,1,6100,52,4,2,5,5,0,1,1,1,1,1,0,1,1,0,0,0,0,3,2,2,1,1,2,2,1,0,0,2,2,1,,,1,0,1679414,3,4,4,0,0,0,0,7,20841,17027,17838,3814,8373,6478,0,0,11361,6478,0,4783,2392,4186,0,6478,0,0,0,0,0,0,4783,0,0,0,0,0,0,0,811,699,9,103,12187,407,203,3814,5012,67,0,1792,0,816,78,3,10359,0,4926.8003503,5394.284541,38,,1679414,1
2016,84665,12,2016,4,299.50024414,2,2,2,,,,,,2,1,1,1,0000,52,6,4,5,5,1,0,0,1,1,0,0,1,0,1,1,0,2,2,2,2,2,2,2,2,2,0,0,2,1,,2,1,,0,,,3,3,1,0,2,2,9,22634,22634,29597,0,8655,29597,0,0,0,29597,0,0,0,0,0,24343,5254,0,0,0,0,0,0,0,0,0,0,0,0,0,6963,4339,1351,1273,8655,736,234,3499,413,130,640,138,1560,1219,87,1,663,0,451.5281063,0,211,,0,1
2016,84673,1,2017,4,258.71768188,1,1.25,0,,,,,,1,,1,1,8600,52,4,4,5,5,1,0,0,0,1,0,0,1,0,1,1,0,0,1,2,2,1,2,1,2,2,0,0,2,2,1,1,,1,0,1702758,2,3,3,0,0,0,0,6,8414,4466,4792,3948,1191,0,0,1996,2795,0,0,2795,0,0,0,0,0,0,0,1996,0,0,2795,0,0,0,0,0,0,0,326,130,0,196,5139,239,104,3948,418,0,0,71,200,161,0,2,2033,0,1943.285521,0,90,,1702758,1
2016,84681,1,2017,4,897.49725342,4,3.2,4,,,,1,1,3,2,1,1,5000,51,2,4,5,5,0,1,1,0,1,0,0,1,1,2,1,0,4,2,2,2,1,1,2,2,2,1,1,2,1,2,2,1,1,5,7500000,3,4,1,0,0,0,0,10,44117,42451,55693,1666,43622,45230,10313,0,150,4977,0,150,0,0,0,0,0,4977,40253,0,0,150,0,0,0,0,0,0,0,0,13242,7248,4047,1947,45287,8848,3271,1865,3207,1689,2149,7634,4061,11141,1422,1,4851,2444.2959094,2406.2447183,0,0,,15000000,1
