s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,dirotBaalutLoGarim,religion
2014,9688,4,2014,2,108.83640289,4,3.2,1,1,1,,,2,2,1,1,1,0000,31,6,,3,3,3,0,1,1,1,1,0,0,1,1,0,1,0,1,1,2,2,2,2,2,0,0,2,2,,2,,0,,2,,,3.5,3.5,1,0,2,2,1,5940,5940,6194,0,5777,5913,0,0,281,5913,0,281,0,0,0,5913,0,0,0,0,0,281,0,0,0,0,0,0,0,254,0,60,194,5777,652,247,2355,1350,37,62,371,79,457,166,2,0,1
2014,9696,4,2014,2,176.68800354,2,2,0,,,,,,2,1,1,1,4000,31,3,,4,3,4,1,0,0,0,1,0,1,1,0,1,3,1,2,1,2,2,1,2,2,0,0,2,1,1,2,1,0,1,1,700176,3,3,3,0,0,0,0,10,31426,29120,31089,2306,12518,0,1505,19771,9813,0,0,5273,4540,0,0,0,0,0,0,19771,0,0,5273,0,0,0,0,0,0,1969,1575,0,394,14824,2092,829,2435,2364,42,0,2146,1129,3177,610,2,1,1
2014,9704,4,2014,2,268.26278687,1,1.25,1,,,,,,1,1,,1,4000,31,3,,4,3,4,0,1,0,1,1,0,0,0,0,1,1,0,1,0,2,2,1,2,2,1,0,2,1,1,2,1,0,,2,,,3,3,1,0,2,2,10,21353,17537,23694,3816,9785,21657,30,0,2007,21657,0,0,0,2007,0,21657,0,0,0,0,0,0,0,0,0,0,0,0,0,6157,4023,1155,979,13057,1576,41,2205,563,248,281,100,263,6367,1414,1,0,1
2014,9712,4,2014,2,116.92890167,2,2,1,,,,,,2,1,1,1,4000,31,3,,4,3,4,0,1,1,1,1,0,0,1,0,1,2,1,1,0,2,2,1,2,1,0,1,2,1,1,2,,0,,2,,,3,3,1,0,2,2,2,5828,5828,6081,0,5189,2297,0,0,3784,2297,0,3011,773,0,0,2297,0,0,0,0,0,0,0,0,0,2459,0,552,0,253,0,17,236,5189,945,540,1953,603,231,0,71,318,510,18,6,0,1
2014,9720,4,2014,2,233.46960449,2,2,2,,,,,,2,1,1,1,4000,31,3,,4,3,4,0,1,1,1,1,0,1,1,0,1,1,0,1,1,2,2,1,2,2,0,0,2,1,1,2,1,0,1,2,1500000,2,5,5,0,0,0,0,6,12372,8704,9035,3668,4033,9035,0,0,0,9035,0,0,0,0,0,4863,4172,0,0,0,0,0,0,0,0,0,0,0,0,331,1,38,292,7701,1202,185,3788,1440,38,24,201,246,577,0,1,0,1
2014,9738,4,2014,2,132.43760681,3,2.65,2,,,,,,3,2,1,1,4000,31,3,,4,3,4,0,1,1,1,2,1,1,1,1,1,2,2,3,4,1,2,1,2,2,1,0,2,1,1,2,2,0,1,2,1602609,3,5,5,0,0,0,0,9,31427,26013,29470,5414,7864,9455,7196,12051,768,9455,0,768,0,0,0,2219,0,7236,0,12051,0,0,768,0,0,0,0,0,0,3457,2619,163,675,13278,661,703,3774,3018,0,0,1119,692,3172,137,1,0,1
2014,9746,4,2014,2,211.90930176,2,2,0,,,,,,2,1,1,1,4000,31,3,,4,3,4,1,0,0,1,1,0,1,1,1,1,2,1,2,4,2,2,1,2,2,1,0,2,1,1,2,2,0,1,2,1700000,3,4,4,0,0,0,0,9,20660,17668,20007,2992,12456,0,0,16027,3979,0,0,3979,0,0,0,0,0,0,0,16027,0,0,3979,0,0,0,0,0,0,2339,1945,0,394,15448,3017,162,3171,1743,342,215,1136,2173,3227,263,1,0,1
2014,9753,4,2014,2,336.4697876,3,2.65,0,,,1,,1,2,1,1,1,0000,32,8,,4,3,2,0,1,1,0,1,1,1,1,1,1,3,0,0,5,2,2,1,2,1,1,0,2,1,1,2,2,0,1,2,6000000,3,7,7,0,0,0,0,7,19101,8559,9669,10542,21881,0,7020,0,2649,0,0,2649,0,0,0,0,0,0,0,0,0,141,2509,0,0,0,0,0,0,1110,913,0,197,32423,7359,686,10876,4690,1037,222,400,1448,3520,2184,6,0,1
2014,9761,4,2014,2,167.53520203,5,3.75,4,,,,,1,4,3,1,1,4000,31,3,,4,3,4,0,1,1,1,1,1,0,1,0,1,5,1,5,2,2,2,1,2,2,1,1,2,1,1,2,2,0,1,2,1400000,2,4,4,0,0,0,0,9,38695,31325,36759,7370,26456,36588,30,0,141,36588,0,141,0,0,0,5796,0,30793,0,0,0,141,0,0,0,0,0,0,0,5434,2776,1210,1448,30364,4089,380,5668,2720,914,50,982,4122,11123,316,5,0,1
2014,9779,4,2014,2,401.41400146,2,2,2,,,,,,2,1,1,1,4000,31,3,,4,3,4,0,1,1,1,1,0,0,1,1,0,2,0,0,2,2,2,1,2,2,0,0,2,2,1,2,1,0,1,2,1400000,2,3,3,0,0,0,0,8,16790,14484,16276,2306,15276,16276,0,0,0,16276,0,0,0,0,0,7351,8925,0,0,0,0,0,0,0,0,0,0,0,0,1792,768,417,607,17582,2039,465,2306,972,74,0,1898,1153,6918,1758,2,0,1
