S_Seker,MisparMb,Hodesh_Hakira,Shnat_Hakira,Quarter,Weight,Nefashot,NefeshStandartit,Mefarnesim,Nefashot0_4,Nefashot5_9,Nefashot10_14,Nefashot15_17,NefashotAd18,Nefashot18Up,Men18up,Women18up,Nationality,Yshuv,Nafa,Zurat_Y,Cluster,MadadPereferia,Tanur_Ba,Tanur_B,Tanur_A,Microwave,Refrigerator,Deep_Freezer,Dish_Washer,Washing_M,Dryer,V_Cleaner,Television,Computer,A_Conditioner,C_Heating,F_Heating,Water_Heating,Security_Room,Cable_Tv,Water_Purification_Device,Tablet,Gamer,Satellite_Dish,internet,Phones,Cell_Phones,Cars,Electric_Scooter,Electric_Bicycle,Baalut,Owned_Appartement_Not_For_Living,Value_D,Mocher_D,Sah_Hadrim,Hadrim,Rented_D,Add_Payers,Maskir,Mafteah,Decile,Total_Net,Net,i1Kaspit,iInKind,c3Kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Sex_RMB,MaamadRMB,Religion
2021,29517,4,2021,2,234.684,6,4.25,4,,,,,,6,2,4,1,0,24,6,2,2,1,0,0,1,1,0,0,1,0,1,4,2,3,2,2,1,1,1,1,1,2,2,1,,2,2,0,0,1,0,1200000,2,4,4,0,0,0,0,7,34572,31546,33192,3026,25861,25243,0,0,7949,25243,0,5574,0,2374,0,7247,0,17996,0,0,0,0,3041,0,0,0,2534,0,0,0,0,1645,0,521,1125,28887,3248,118,3026,1168,817,1412,1138,969,11873,5118,1,2,1,1
2021,29518,4,2021,2,497.46,5,3.75,2,,1,2,,3,2,1,1,1,9000,62,15,3,3,0,1,1,1,1,0,1,1,0,1,4,2,5,2,2,1,1,1,2,0,0,2,1,1,2,2,1,0,1,0,3000000,4,5,5,0,0,0,0,6,25407,21274,23381,4133,10812,16250,0,0,7131,16250,0,543,6588,0,0,1967,14284,0,0,0,0,543,0,0,0,0,0,0,0,0,0,2107,763,591,753,14945,1902,487,4133,2376,1625,0,518,152,3585,168,1,1,1,1
2021,29519,4,2021,2,448.74,2,2,0,,,,,,2,1,1,1,9000,62,15,3,3,0,1,1,1,1,1,1,1,0,0,3,1,2,2,2,1,1,1,2,0,0,2,1,1,2,1,0,0,1,0,1200000,2,4,4,0,0,0,0,2,5716,2962,3142,2754,3980,0,0,1014,2128,0,0,2128,0,0,0,0,0,0,0,1014,0,0,0,0,0,2128,0,0,0,0,0,179,0,74,105,6734,695,275,2865,1226,0,0,483,474,636,79,2,1,3,1
2021,29520,4,2021,2,774.377,2,2,1,,,,,,2,1,1,1,9000,62,15,3,3,0,1,1,1,2,1,1,1,0,1,5,1,6,2,2,1,1,1,1,0,0,2,1,,2,2,0,0,1,0,2000000,2,6,6,0,0,0,0,9,23002,18869,19054,4133,13702,3547,0,11149,4358,3547,0,4358,0,0,0,3547,0,0,0,11149,0,0,4358,0,0,0,0,0,0,0,0,184,184,0,0,17835,2330,151,4180,890,237,0,925,679,8358,84,2,2,1,1
2021,29521,4,2021,2,312.604,3,2.65,2,,,,,,3,2,1,3,9000,62,15,3,3,0,1,1,1,2,0,0,1,0,1,4,2,4,2,2,1,2,1,2,0,0,2,1,,2,2,0,0,1,0,1400000,3,5,5,0,0,0,0,8,26306,22173,24735,4133,10862,19971,0,0,4763,19971,0,4763,0,0,0,12007,0,7964,0,0,0,0,0,0,0,0,4763,0,0,0,0,2561,1165,605,792,14995,3648,543,4387,961,74,0,999,2406,1927,50,1,1,1,2
2021,29522,4,2021,2,209.997,3,2.65,3,,,,,,3,1,2,1,0,32,6,4,3,0,1,1,1,1,0,1,1,1,1,1,3,3,2,2,1,2,1,2,1,0,2,1,1,2,2,0,0,1,1,3000000,3,4.5,4.5,0,0,0,0,9,31112,24521,31500,6591,20353,30081,1419,0,0,30081,0,0,0,0,0,22550,3525,4006,0,0,0,0,0,0,0,0,0,0,0,0,0,6979,4371,1240,1368,26944,3484,1489,6385,1507,984,1714,4538,2338,3480,1024,1,1,1,1
2021,29523,4,2021,2,267.668,5,3.75,1,2,,1,,3,2,1,1,1,0,61,5,2,3,1,0,0,1,1,0,0,1,1,1,2,1,4,2,2,1,2,1,2,0,0,2,1,,2,1,0,0,1,1,950000,3,4,4,0,0,0,0,3,17059,14045,15471,3014,10941,11560,0,0,3911,11560,0,3584,328,0,0,11560,0,0,0,0,0,543,0,0,0,0,3041,0,0,0,0,1426,537,413,476,13955,922,803,3014,1242,4910,186,0,234,2055,587,1,1,1,1
2021,29524,4,2021,2,180.496,2,2,1,,,,,,2,1,1,1,4000,31,3,4,4,0,1,1,1,1,0,1,1,1,1,2,1,2,2,2,1,2,1,1,0,0,2,1,1,2,1,0,0,1,0,2100000,3,4,4,0,0,0,0,7,16540,13613,14298,2927,16431,9382,0,0,4916,0,0,4916,0,0,0,0,0,0,9382,0,0,0,4916,0,0,0,0,0,0,0,0,685,685,0,0,19358,7084,1167,3223,1665,1057,0,1322,1461,2105,274,1,1,2,1
2021,29525,4,2021,2,1025.809,1,1.25,0,,,,,,1,,1,1,6200,53,4,3,5,1,0,0,1,1,0,0,1,0,0,1,1,1,2,2,2,2,1,2,0,0,2,1,1,1,,0,0,,0,,,3,3,1,0,2,2,2,4257,4257,4257,0,5067,0,0,0,4257,0,0,3243,1014,0,0,0,0,0,0,0,0,0,3243,0,0,0,0,0,0,0,0,0,0,0,0,5067,371,375,3016,444,0,0,606,152,102,0,2,2,3,1
2021,29526,4,2021,2,311.002,12,6.8,0,3,5,2,,10,2,1,1,1,0,22,6,2,2,1,0,0,1,1,1,1,1,1,0,0,0,4,2,2,1,1,2,2,0,0,2,2,,2,,0,0,,1,,,4,4,1,0,2,2,1,10277,10277,10277,0,15280,0,3041,0,7236,0,0,6730,507,0,0,0,0,0,0,0,0,1662,0,0,0,0,5068,0,0,0,0,0,0,0,0,15280,3107,955,2061,1313,518,2945,547,3128,60,647,4,1,3,1
